"Name","Version","License"
"APScheduler","3.11.1","MIT License"
"Faker","38.2.0","MIT License"
"Jinja2","3.1.6","BSD License"
"Markdown","3.10","BSD-3-Clause"
"MarkupSafe","3.0.3","BSD-3-Clause"
"PyYAML","6.0.3","MIT License"
"Pygments","2.19.2","BSD License"
"Werkzeug","3.1.4","BSD-3-Clause"
"absl-py","2.3.1","Apache-2.0"
"aiohappyeyeballs","2.6.1","Python Software Foundation License"
"aiohttp","3.13.2","Apache-2.0 AND MIT"
"aiosignal","1.4.0","Apache Software License"
"annotated-doc","0.0.4","MIT"
"annotated-types","0.7.0","MIT License"
"anyio","4.12.0","MIT"
"asttokens","3.0.1","Apache 2.0"
"async-lru","2.0.5","MIT License"
"async-timeout","5.0.1","Apache Software License"
"asyncpg","0.31.0","Apache-2.0"
"attrs","25.4.0","MIT"
"autoflake","2.3.1","MIT License"
"backports.asyncio.runner","1.2.0","Python Software Foundation License"
"black","25.11.0","MIT"
"brotli","1.2.0","MIT"
"build","1.3.0","MIT"
"certifi","2025.11.12","Mozilla Public License 2.0 (MPL 2.0)"
"cffi","2.0.0","MIT"
"cfgv","3.5.0","MIT"
"charset-normalizer","3.4.4","MIT"
"click","8.3.1","BSD-3-Clause"
"colorama","0.4.6","BSD License"
"coverage","7.12.0","Apache-2.0"
"cssselect2","0.8.0","BSD License"
"decorator","5.2.1","BSD License"
"dill","0.4.0","BSD License"
"distlib","0.4.0","Python Software Foundation License"
"dnspython","2.8.0","ISC License (ISCL)"
"exceptiongroup","1.3.1","MIT License"
"execnet","2.1.2","MIT"
"executing","2.2.1","MIT License"
"factory_boy","3.3.3","MIT License"
"fastapi","0.123.8","MIT"
"filelock","3.20.0","Unlicense"
"fonttools","4.61.0","MIT"
"freezegun","1.5.5","Apache-2.0"
"frozenlist","1.8.0","Apache-2.0"
"fsspec","2025.12.0","BSD-3-Clause"
"grpcio","1.76.0","Apache Software License"
"h11","0.16.0","MIT License"
"httpcore","1.0.9","BSD-3-Clause"
"httptools","0.7.1","MIT"
"httpx","0.28.1","BSD License"
"huggingface-hub","0.36.0","Apache Software License"
"identify","2.6.15","MIT"
"idna","3.11","BSD-3-Clause"
"importlib_metadata","8.7.0","Apache Software License"
"iniconfig","2.3.0","MIT"
"ipdb","0.13.13","BSD License"
"ipython","8.37.0","BSD License"
"isodate","0.7.2","BSD License"
"jedi","0.19.2","MIT License"
"kafka-python","2.3.0","Apache Software License"
"librt","0.6.3","MIT License"
"loguru","0.7.3","MIT License"
"markdown-it-py","4.0.0","MIT License"
"matplotlib-inline","0.2.1","UNKNOWN"
"mccabe","0.7.0","MIT License"
"mdurl","0.1.2","MIT License"
"ml_dtypes","0.5.4","Apache-2.0"
"mpmath","1.3.0","BSD License"
"multidict","6.7.0","Apache License 2.0"
"mypy","1.19.0","MIT License"
"mypy_extensions","1.1.0","MIT"
"neo4j","6.0.3","Apache-2.0 AND Python-2.0"
"networkx","3.4.2","BSD License"
"ninja","1.13.0","Apache Software License; BSD License"
"nodeenv","1.9.1","BSD License"
"numpy","2.2.6","BSD License"
"onnx","1.20.0","Apache-2.0"
"onnx-simplifier","0.4.10","Apache Software License"
"opencv-python","4.12.0.88","Apache Software License"
"packaging","25.0","Apache Software License; BSD License"
"pandas","2.3.3","BSD License"
"parso","0.8.5","MIT License"
"pathspec","0.12.1","Mozilla Public License 2.0 (MPL 2.0)"
"patsy","1.0.2","BSD License"
"pillow","12.0.0","MIT-CMU"
"platformdirs","4.5.0","MIT"
"pluggy","1.6.0","MIT License"
"pre_commit","4.5.0","MIT"
"prompt_toolkit","3.0.52","BSD License"
"propcache","0.4.1","Apache Software License"
"protobuf","6.33.1","3-Clause BSD License"
"psutil","7.1.3","BSD-3-Clause"
"pure_eval","0.2.3","MIT License"
"pycocotools","2.0.10","FreeBSD"
"pycodestyle","2.14.0","MIT"
"pycparser","2.23","BSD License"
"pydantic","2.12.5","MIT"
"pydantic_core","2.41.5","MIT"
"pydyf","0.12.1","BSD License"
"pyflakes","3.4.0","MIT License"
"pymongo","4.15.5","Apache Software License"
"pyparsing","3.2.5","MIT"
"pyphen","0.17.2","GNU General Public License v2 or later (GPLv2+); GNU Lesser General Public License v2 or later (LGPLv2+); Mozilla Public License 1.1 (MPL 1.1)"
"pyproject_hooks","1.2.0","MIT License"
"pytest","9.0.1","MIT"
"pytest-asyncio","1.3.0","Apache-2.0"
"pytest-cov","7.0.0","MIT"
"pytest-mock","3.15.1","MIT License"
"pytest-timeout","2.4.0","DFSG approved; MIT License"
"pytest-xdist","3.8.0","MIT"
